different,9015,JJ
various,5868,JJ
social,4590,JJ
available,1275,JJ
other,1152,JJ
new,839,JJ
open,765,JJ
financial,564,JJ
few,548,JJ
empty,483,JJ
recent,344,JJ
general,335,JJ
initial,307,JJ
medical,283,JJ
personal,276,JJ
related,257,JJ
next,250,JJ
live,243,JJ
dictionary,231,JJ
bible,212,JJ
enable,178,JJ
free,166,JJ
current,147,JJ
complete,133,JJ
several,129,JJ
daily,129,JJ
many,118,JJ
informative,118,JJ
scan,105,JJ
religious,103,JJ
local,100,JJ
comic,98,JJ
english,92,JJ
real,89,JJ
musical,83,JJ
popular,78,JJ
diary,73,JJ
vocabulary,60,JJ
particular,59,JJ
basic,59,JJ
menstrual,58,JJ
advanced,50,JJ
full,45,JJ
educational,42,JJ
main,36,JJ
private,35,JJ
black,35,JJ
detailed,34,JJ
legal,34,JJ
same,33,JJ
active,32,JJ
previous,31,JJ
spiritual,31,JJ
referral,27,JJ
special,27,JJ
clear,26,JJ
automatic,26,JJ
spanish,25,JJ
weekly,25,JJ
specific,24,JJ
virtual,24,JJ
last,23,JJ
manual,22,JJ
total,21,JJ
international,20,JJ
important,20,JJ
additional,20,JJ
global,18,JJ
easy,18,JJ
intial,17,JJ
disable,17,JJ
numerical,15,JJ
short,14,JJ
healthy,14,JJ
add-on,13,JJ
surgical,13,JJ
unknown,12,JJ
uploaded,12,JJ
final,12,JJ
internal,12,JJ
exclusive,12,JJ
french,11,JJ
safe,11,JJ
natural,11,JJ
national,11,JJ
anonymous,11,JJ
great,11,JJ
due,10,JJ
monetary,10,JJ
alphabetical,10,JJ
native,10,JJ
mutual,10,JJ
technical,10,JJ
old,9,JJ
professional,9,JJ
optional,9,JJ
single,9,JJ
interested,9,JJ
mathematical,9,JJ
true,9,JJ
hot,9,JJ
navigational,9,JJ
average,9,JJ
clinical,8,JJ
red,8,JJ
successful,8,JJ
chinese,8,JJ
japanese,8,JJ
high,8,JJ
invalid,8,JJ
direct,8,JJ
happy,8,JJ
good,8,JJ
postal,7,JJ
valid,7,JJ
positive,7,JJ
regional,7,JJ
creative,7,JJ
low,7,JJ
white,7,JJ
statistical,7,JJ
bubble,7,JJ
electric,7,JJ
political,7,JJ
second,7,JJ
visual,7,JJ
inspirational,7,JJ
ready,7,JJ
graphic,6,JJ
wrong,6,JJ
own,6,JJ
small,6,JJ
normal,6,JJ
false,6,JJ
unable,6,JJ
academic,6,JJ
necessary,6,JJ
archive,6,JJ
military,6,JJ
united,5,JJ
green,5,JJ
extra,5,JJ
polish,5,JJ
electronic,5,JJ
individual,5,JJ
glossary,5,JJ
common,5,JJ
annual,5,JJ
aerial,5,JJ
nutritional,5,JJ
miscellaneous,5,JJ
scientific,5,JJ
interactive,5,JJ
american,5,JJ
foreign,5,JJ
unlimited,5,JJ
vocal,5,JJ
islamic,5,JJ
unread,4,JJ
nasty,4,JJ
athletic,4,JJ
february,4,JJ
fresh,4,JJ
upgraded,4,JJ
dietary,4,JJ
logical,4,JJ
residential,4,JJ
german,4,JJ
tiny,4,JJ
diagnostic,4,JJ
lock-screen,4,JJ
unavailable,4,JJ
possible,4,JJ
physical,4,JJ
lucky,4,JJ
disabled,4,JJ
hazardous,4,JJ
negative,4,JJ
biological,4,JJ
emotional,4,JJ
romantic,4,JJ
italian,4,JJ
diabetic,4,JJ
corporate,4,JJ
temporary,4,JJ
upshot,4,JJ
useful,3,JJ
inactive,3,JJ
unlocked,3,JJ
indian,3,JJ
unloaded,3,JJ
moral,3,JJ
major,3,JJ
certain,3,JJ
competitive,3,JJ
unwanted,3,JJ
statistic,3,JJ
web-site,3,JJ
famous,3,JJ
scary,3,JJ
